[ 1 , jmp , 11 ]
[ 0 , nop , 495 ]
[ 0 , nop , 402 ]
[ 0 , jmp , 570 ]
[ 1 , jmp , 569 ]
[ 0 , jmp , 451 ]
[ 1 , acc , -12 ]
[ 1 , jmp , 364 ]
[ 0 , acc , 30 ]
[ 0 , acc , 21 ]
[ 0 , jmp , 430 ]
[ 1 , jmp , 87 ]
[ 0 , acc , -12 ]
[ 0 , acc , -4 ]
[ 0 , acc , 11 ]
[ 0 , jmp , 50 ]
[ 1 , jmp , 149 ]
[ 0 , jmp , 341 ]
[ 0 , nop , 1 ]
[ 0 , acc , 33 ]
[ 0 , jmp , 461 ]
[ 0 , acc , 43 ]
[ 0 , acc , -15 ]
[ 0 , jmp , 440 ]
[ 1 , acc , 18 ]
[ 1 , acc , 22 ]
[ 1 , acc , -14 ]
[ 1 , nop , 576 ]
[ 1 , jmp , -22 ]
[ 0 , acc , 33 ]
[ 0 , acc , 0 ]
[ 0 , acc , 34 ]
[ 0 , jmp , 369 ]
[ 1 , nop , 497 ]
[ 1 , nop , 469 ]
[ 1 , acc , -12 ]
[ 1 , jmp , 93 ]
[ 0 , acc , -13 ]
[ 0 , jmp , 337 ]
[ 1 , acc , 5 ]
[ 1 , acc , 18 ]
[ 1 , acc , 26 ]
[ 1 , nop , 115 ]
[ 1 , jmp , 67 ]
[ 0 , nop , 282 ]
[ 0 , nop , -6 ]
[ 0 , nop , 289 ]
[ 0 , jmp , 303 ]
[ 1 , acc , 10 ]
[ 1 , acc , -15 ]
[ 1 , jmp , 153 ]
[ 0 , nop , 445 ]
[ 0 , acc , -8 ]
[ 0 , acc , 11 ]
[ 0 , jmp , 374 ]
[ 0 , acc , 35 ]
[ 0 , acc , -9 ]
[ 0 , nop , 199 ]
[ 0 , jmp , 1 ]
[ 0 , jmp , 369 ]
[ 0 , jmp , 1 ]
[ 0 , acc , 22 ]
[ 0 , acc , -18 ]
[ 0 , acc , 17 ]
[ 0 , jmp , 303 ]
[ 0 , acc , 37 ]
[ 0 , acc , 13 ]
[ 0 , acc , 22 ]
[ 0 , nop , 307 ]
[ 0 , jmp , 154 ]
[ 0 , nop , 381 ]
[ 0 , acc , -6 ]
[ 0 , nop , -54 ]
[ 0 , acc , 38 ]
[ 0 , jmp , 494 ]
[ 0 , acc , 37 ]
[ 0 , acc , 15 ]
[ 0 , jmp , 475 ]
[ 0 , jmp , 474 ]
[ 1 , nop , 534 ]
[ 1 , acc , 37 ]
[ 1 , jmp , 359 ]
[ 0 , jmp , 296 ]
[ 1 , acc , 40 ]
[ 1 , jmp , 157 ]
[ 0 , acc , 5 ]
[ 0 , nop , 139 ]
[ 0 , acc , 49 ]
[ 0 , acc , 45 ]
[ 0 , jmp , 237 ]
[ 1 , acc , 42 ]
[ 1 , acc , 8 ]
[ 1 , acc , 43 ]
[ 1 , jmp , 466 ]
